,name,rating,Sector,Ownership,high_rating_values,bad_rating_factor,Review,Salary_comments,Interview_Q,Jobs,Job_link,Photos,Employee_count,Age
8289,SOGEFI ENGINE SYSTEMS INDIA,3.6,Auto Components ,NA,"Promotions / Appraisal, Job Security, Company Culture",NA,94,624,https://www.ambitionbox.com/interviews/sogefi-engine-systems-india-interview-questions,--,https://www.ambitionbox.com/jobs/sogefi-engine-systems-india-jobs,https://www.ambitionbox.com/photos/sogefi-engine-systems-india-photos, Gurgaon / Gurugram +3 more,Auto Components 
8290,Servosys Solutions,3.1,Financial Services , 12 years old ,"Work Life Balance, Company Culture, Work Satisfaction",NA,94,916,https://www.ambitionbox.com/interviews/servosys-solutions-interview-questions,14,https://www.ambitionbox.com/jobs/servosys-solutions-jobs,https://www.ambitionbox.com/photos/servosys-solutions-photos, 51-200 Employees , 12 years old 
8291,Vatsal Technosoft,4.3,IT Services & Consulting , 16 years old ,"Skill Development / Learning, Company Culture, Promotions / Appraisal",NA,93,25,https://www.ambitionbox.com/interviews/vatsal-technosoft-interview-questions,--,https://www.ambitionbox.com/jobs/vatsal-technosoft-jobs,https://www.ambitionbox.com/photos/vatsal-technosoft-photos, 1k-5k Employees , 16 years old 
8292,Embassy Services,3.9,Facility Management Services ,NA,Promotions / Appraisal,NA,93,604,https://www.ambitionbox.com/interviews/embassy-services-interview-questions,--,https://www.ambitionbox.com/jobs/embassy-services-jobs,https://www.ambitionbox.com/photos/embassy-services-photos, bangalore +12 more,Facility Management Services 
8293,Delval Flow Controls,4.3,Industrial Machinery , 19 years old ,"Job Security, Company Culture, Work Life Balance",NA,93,648,https://www.ambitionbox.com/interviews/delval-flow-controls-interview-questions,--,https://www.ambitionbox.com/jobs/delval-flow-controls-jobs,https://www.ambitionbox.com/photos/delval-flow-controls-photos, 201-500 Employees , 19 years old 
8294,SKS Business Services,2.9,Accounting & Auditing , Jamnagar +15 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,93,479,https://www.ambitionbox.com/interviews/sks-business-services-interview-questions,--,https://www.ambitionbox.com/jobs/sks-business-services-jobs,https://www.ambitionbox.com/photos/sks-business-services-photos, 201-500 Employees , 201-500 Employees 
8295,Brickwork India,3.8,Financial Services , 19 years old ,Job Security,NA,93,733,https://www.ambitionbox.com/interviews/brickwork-india-interview-questions,20,https://www.ambitionbox.com/jobs/brickwork-india-jobs,https://www.ambitionbox.com/photos/brickwork-india-photos, 201-500 Employees , 19 years old 
8296,Han River Technology,3.8,51-200 Employees , Kolkata +1 more,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Salary & Benefits, Promotions / Appraisal",92,284,https://www.ambitionbox.com/interviews/han-river-technology-interview-questions,14,https://www.ambitionbox.com/jobs/han-river-technology-jobs,https://www.ambitionbox.com/photos/han-river-technology-photos, 11 years old , 11 years old 
8297,Kent,3.6,Financial Services , Breda +41 more,"Promotions / Appraisal, Job Security, Work Satisfaction",NA,92,500,https://www.ambitionbox.com/interviews/kent-interview-questions,--,https://www.ambitionbox.com/jobs/kent-jobs,https://www.ambitionbox.com/photos/kent-photos, 1k-5k Employees , 1k-5k Employees 
8298,CRED,3.8,FinTech , Indian Unicorn ,"Salary & Benefits, Company Culture","Promotions / Appraisal, Work Life Balance, Work Satisfaction",92,1.5k,https://www.ambitionbox.com/interviews/cred-interview-questions,--,https://www.ambitionbox.com/jobs/cred-jobs,https://www.ambitionbox.com/photos/cred-photos, 201-500 Employees , 6 years old 
8299,Mitsuba,3.7,Auto Components , 27 years old ,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",NA,92,535,https://www.ambitionbox.com/interviews/mitsuba-interview-questions,--,https://www.ambitionbox.com/jobs/mitsuba-jobs,https://www.ambitionbox.com/photos/mitsuba-photos, 51-200 Employees , 27 years old 
8300,Capline Services,3.0,Healthcare , 8 years old ,"Promotions / Appraisal, Job Security, Skill Development / Learning",NA,91,596,https://www.ambitionbox.com/interviews/capline-services-interview-questions,7,https://www.ambitionbox.com/jobs/capline-services-jobs,https://www.ambitionbox.com/photos/capline-services-photos, 201-500 Employees , 8 years old 
8301,Magna Steyr,4.3,Automobile , 67 years old ,"Company Culture, Job Security, Work Life Balance",NA,91,847,https://www.ambitionbox.com/interviews/magna-steyr-interview-questions,--,https://www.ambitionbox.com/jobs/magna-steyr-jobs,https://www.ambitionbox.com/photos/magna-steyr-photos, 51-200 Employees , 67 years old 
8302,Bacancy Technology,3.5,IT Services & Consulting , 13 years old ,"Promotions / Appraisal, Salary & Benefits",NA,91,868,https://www.ambitionbox.com/interviews/bacancy-technology-interview-questions,14,https://www.ambitionbox.com/jobs/bacancy-technology-jobs,https://www.ambitionbox.com/photos/bacancy-technology-photos, 501-1k Employees , 13 years old 
8303,Metro Brands,3.9,Fashion & Textile , 77 years old ,"Promotions / Appraisal, Salary & Benefits",NA,91,595,https://www.ambitionbox.com/interviews/metro-brands-limited-interview-questions,10,https://www.ambitionbox.com/jobs/metro-brands-limited-jobs,https://www.ambitionbox.com/photos/metro-brands-limited-photos, 501-1k Employees , 77 years old 
8304,Fotografik Enterprises,3.8,51-200 Employees ,NA,"Promotions / Appraisal, Job Security",NA,90,329,https://www.ambitionbox.com/interviews/fotografik-enterprises-pvt-dot-ltd-dot-interview-questions,--,https://www.ambitionbox.com/jobs/fotografik-enterprises-pvt-dot-ltd-dot-jobs,https://www.ambitionbox.com/photos/fotografik-enterprises-pvt-dot-ltd-dot-photos, Chandigarh +4 more,51-200 Employees 
8305,PeopleStrong Technologies,3.5,Software Product , 18 years old ,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",NA,90,613,https://www.ambitionbox.com/interviews/peoplestrong-technologies-interview-questions,13,https://www.ambitionbox.com/jobs/peoplestrong-technologies-jobs,https://www.ambitionbox.com/photos/peoplestrong-technologies-photos, 1k-5k Employees , 18 years old 
8306,Aqua Group,4.5,Industrial Machinery , 68 years old ,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal,90,477,https://www.ambitionbox.com/interviews/aqua-group-interview-questions,--,https://www.ambitionbox.com/jobs/aqua-group-jobs,https://www.ambitionbox.com/photos/aqua-group-photos, 501-1k Employees , 68 years old 
8307,Zopsmart Technology,3.1,Software Product , Startup ,"Promotions / Appraisal, Company Culture, Salary & Benefits",NA,90,797,https://www.ambitionbox.com/interviews/zopsmart-technology-interview-questions,13,https://www.ambitionbox.com/jobs/zopsmart-technology-jobs,https://www.ambitionbox.com/photos/zopsmart-technology-photos, 201-500 Employees , 10 years old 
8308,Krishna Institute of Medical Sciences,4.2,Healthcare , 24 years old ,"Job Security, Company Culture, Work Life Balance",NA,90,495,https://www.ambitionbox.com/interviews/krishna-institute-of-medical-sciences-interview-questions,11,https://www.ambitionbox.com/jobs/krishna-institute-of-medical-sciences-jobs,https://www.ambitionbox.com/photos/krishna-institute-of-medical-sciences-photos, 501-1k Employees , 24 years old 
8309,Gfl,3.8,Chemicals , Public ,Job Security,Promotions / Appraisal,89,434,https://www.ambitionbox.com/interviews/gfl-interview-questions,--,https://www.ambitionbox.com/jobs/gfl-jobs,https://www.ambitionbox.com/photos/gfl-photos, 1k-5k Employees , 37 years old 
8310,DWD Pharmaceuticals,3.7,Pharma , 43 years old ,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",NA,89,421,https://www.ambitionbox.com/interviews/dwd-pharmaceuticals-interview-questions,--,https://www.ambitionbox.com/jobs/dwd-pharmaceuticals-jobs,https://www.ambitionbox.com/photos/dwd-pharmaceuticals-photos, 501-1k Employees , 43 years old 
8311,Gitarattan International Business School,4.8,Education & Training , 20 years old ,"Job Security, Work Life Balance, Salary & Benefits",NA,88,80,https://www.ambitionbox.com/interviews/gitarattan-international-business-school-interview-questions,--,https://www.ambitionbox.com/jobs/gitarattan-international-business-school-jobs,https://www.ambitionbox.com/photos/gitarattan-international-business-school-photos, 51-200 Employees , 20 years old 
8312,Government of Kerala,3.8,Government , 68 years old ,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal",88,499,https://www.ambitionbox.com/interviews/government-of-kerala-interview-questions,--,https://www.ambitionbox.com/jobs/government-of-kerala-jobs,https://www.ambitionbox.com/photos/government-of-kerala-photos, 1 Lakh+ Employees , 68 years old 
8313,Telecomone Teleservices,4.0,Telecom , 18 years old ,"Work Life Balance, Job Security",NA,88,486,https://www.ambitionbox.com/interviews/telecomone-teleservices-interview-questions,8,https://www.ambitionbox.com/jobs/telecomone-teleservices-jobs,https://www.ambitionbox.com/photos/telecomone-teleservices-photos, 501-1k Employees (Global) , 18 years old 
8314,rProcess Outsourcing Services,3.6,Analytics & KPO , 14 years old ,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",NA,88,355,https://www.ambitionbox.com/interviews/rprocess-outsourcing-services-interview-questions,--,https://www.ambitionbox.com/jobs/rprocess-outsourcing-services-jobs,https://www.ambitionbox.com/photos/rprocess-outsourcing-services-photos, 501-1k Employees (Global) , 14 years old 
8315,Global Market Insights,2.9,Analytics & KPO , 9 years old ,"Promotions / Appraisal, Salary & Benefits, Job Security",NA,88,517,https://www.ambitionbox.com/interviews/global-market-insights-interview-questions,3,https://www.ambitionbox.com/jobs/global-market-insights-jobs,https://www.ambitionbox.com/photos/global-market-insights-photos, 201-500 Employees , 9 years old 
8316,Perto,3.6,Electrical Equipment , 36 years old ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,88,548,https://www.ambitionbox.com/interviews/perto-interview-questions,9,https://www.ambitionbox.com/jobs/perto-jobs,https://www.ambitionbox.com/photos/perto-photos, 11-50 Employees , 36 years old 
8317,Kalinga Commercial Corporation,3.7,Metals & Mining , 33 years old ,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",NA,88,386,https://www.ambitionbox.com/interviews/kalinga-commercial-corporation-interview-questions,--,https://www.ambitionbox.com/jobs/kalinga-commercial-corporation-jobs,https://www.ambitionbox.com/photos/kalinga-commercial-corporation-photos, 1k-5k Employees , 33 years old 
8318,Rain Cii Carbon Vizag,4.1,Chemicals , 26 years old ,"Job Security, Work Life Balance",NA,88,455,https://www.ambitionbox.com/interviews/rain-cii-carbon-vizag-interview-questions,--,https://www.ambitionbox.com/jobs/rain-cii-carbon-vizag-jobs,https://www.ambitionbox.com/photos/rain-cii-carbon-vizag-photos, 1k-5k Employees , 26 years old 
8319,Oswal Industries,3.6,Financial Services , 39 years old ,"Promotions / Appraisal, Work Satisfaction, Company Culture",NA,87,432,https://www.ambitionbox.com/interviews/oswal-industries-limited-interview-questions,--,https://www.ambitionbox.com/jobs/oswal-industries-limited-jobs,https://www.ambitionbox.com/photos/oswal-industries-limited-photos, 201-500 Employees , 39 years old 
8320,Uttam Strips,3.7,Iron & Steel , 16 years old ,"Promotions / Appraisal, Work Life Balance, Job Security",NA,87,455,https://www.ambitionbox.com/interviews/uttam-strips-interview-questions,6,https://www.ambitionbox.com/jobs/uttam-strips-jobs,https://www.ambitionbox.com/photos/uttam-strips-photos, 201-500 Employees , 16 years old 
8321,Best Value Chem,3.8,Chemicals , 26 years old ,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",NA,87,631,https://www.ambitionbox.com/interviews/best-value-chem-pvt-dot-ltd-dot-interview-questions,3,https://www.ambitionbox.com/jobs/best-value-chem-pvt-dot-ltd-dot-jobs,https://www.ambitionbox.com/photos/best-value-chem-pvt-dot-ltd-dot-photos, 51-200 Employees , 26 years old 
8322,C2L BIZ,3.9,Internet , 17 years old ,"Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal",87,774,https://www.ambitionbox.com/interviews/c2l-biz-interview-questions,7,https://www.ambitionbox.com/jobs/c2l-biz-jobs,https://www.ambitionbox.com/photos/c2l-biz-photos, 51-200 Employees (Global) , 17 years old 
8323,Rivulis Irrigation,4.4,Agriculture , 58 years old ,"Job Security, Company Culture, Skill Development / Learning",NA,87,495,https://www.ambitionbox.com/interviews/rivulis-irrigation-interview-questions,--,https://www.ambitionbox.com/jobs/rivulis-irrigation-jobs,https://www.ambitionbox.com/photos/rivulis-irrigation-photos, 201-500 Employees , 58 years old 
8324,VaaaN Infra,4.2,Urban Transport , 13 years old ,"Job Security, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",86,390,https://www.ambitionbox.com/interviews/vaaan-infra-interview-questions,--,https://www.ambitionbox.com/jobs/vaaan-infra-jobs,https://www.ambitionbox.com/photos/vaaan-infra-photos, 51-200 Employees , 13 years old 
8325,Luxor International,3.8,Retail , Conglomerate ,Job Security,"Promotions / Appraisal, Salary & Benefits",86,587,https://www.ambitionbox.com/interviews/luxor-international-interview-questions,--,https://www.ambitionbox.com/jobs/luxor-international-jobs,https://www.ambitionbox.com/photos/luxor-international-photos, 201-500 Employees , 44 years old 
8326,Sunrise Biztech Systems,3.7,IT Services & Consulting , 34 years old ,Company Culture,"Promotions / Appraisal, Job Security",86,441,https://www.ambitionbox.com/interviews/sunrise-biztech-systems-interview-questions,5,https://www.ambitionbox.com/jobs/sunrise-biztech-systems-jobs,https://www.ambitionbox.com/photos/sunrise-biztech-systems-photos, 51-200 Employees , 34 years old 
8327,Outline Systems,4.0,IT Services & Consulting , 19 years old ,"Job Security, Work Life Balance, Company Culture",NA,86,541,https://www.ambitionbox.com/interviews/outline-systems-interview-questions,15,https://www.ambitionbox.com/jobs/outline-systems-jobs,https://www.ambitionbox.com/photos/outline-systems-photos, 1k-5k Employees , 19 years old 
8328,Malpani Group,4.2,Power , 130 years old ,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,86,476,https://www.ambitionbox.com/interviews/malpani-group-interview-questions,3,https://www.ambitionbox.com/jobs/malpani-group-jobs,https://www.ambitionbox.com/photos/malpani-group-photos, 1k-5k Employees , 130 years old 
8329,APL Logistics,4.4,Logistics , 47 years old ,"Work Life Balance, Work Satisfaction, Company Culture",NA,86,466,https://www.ambitionbox.com/interviews/apl-logistics-interview-questions,--,https://www.ambitionbox.com/jobs/apl-logistics-jobs,https://www.ambitionbox.com/photos/apl-logistics-photos, 501-1k Employees , 47 years old 
8330,Mitel,3.8,Telecom , 52 years old ,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security",86,1.1k,https://www.ambitionbox.com/interviews/mitel-interview-questions,1,https://www.ambitionbox.com/jobs/mitel-jobs,https://www.ambitionbox.com/photos/mitel-photos, 501-1k Employees , 52 years old 
8331,LG Polymers,4.5,Chemicals , 63 years old ,"Job Security, Work Life Balance, Salary & Benefits",NA,86,345,https://www.ambitionbox.com/interviews/lg-polymers-interview-questions,3,https://www.ambitionbox.com/jobs/lg-polymers-jobs,https://www.ambitionbox.com/photos/lg-polymers-photos, 501-1k Employees , 63 years old 
8332,INFOCRUNCH ANALYTICS,3.9,Analytics & KPO , New Delhi +7 more,Salary & Benefits,"Job Security, Skill Development / Learning",86,323,https://www.ambitionbox.com/interviews/infocrunch-analytics-private-limited-interview-questions,--,https://www.ambitionbox.com/jobs/infocrunch-analytics-private-limited-jobs,https://www.ambitionbox.com/photos/infocrunch-analytics-private-limited-photos, 51-200 Employees , 51-200 Employees 
8333,Modern Informatics,3.4,IT Services & Consulting , 13 years old ,"Salary & Benefits, Promotions / Appraisal, Job Security",NA,86,463,https://www.ambitionbox.com/interviews/modern-informatics-interview-questions,18,https://www.ambitionbox.com/jobs/modern-informatics-jobs,https://www.ambitionbox.com/photos/modern-informatics-photos, 201-500 Employees , 13 years old 
8334,Timezone Entertainment,3.8,Events , 46 years old ,Company Culture,"Promotions / Appraisal, Work Satisfaction",85,360,https://www.ambitionbox.com/interviews/timezone-entertainment-pvt-dot-ltd-dot-interview-questions,--,https://www.ambitionbox.com/jobs/timezone-entertainment-pvt-dot-ltd-dot-jobs,https://www.ambitionbox.com/photos/timezone-entertainment-pvt-dot-ltd-dot-photos, 201-500 Employees , 46 years old 
8335,NextGen Invent,4.2,IT Services & Consulting ,NA,"Skill Development / Learning, Work Life Balance, Work Satisfaction",NA,85,291,https://www.ambitionbox.com/interviews/nextgen-invent-interview-questions,5,https://www.ambitionbox.com/jobs/nextgen-invent-jobs,https://www.ambitionbox.com/photos/nextgen-invent-photos, Shrewsbury +2 more,IT Services & Consulting 
8336,Vatika Hotels,4.1,Real Estate , 20 years old ,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,85,367,https://www.ambitionbox.com/interviews/vatika-hotels-interview-questions,2,https://www.ambitionbox.com/jobs/vatika-hotels-jobs,https://www.ambitionbox.com/photos/vatika-hotels-photos, 501-1k Employees , 20 years old 
8337,Classic Marble Company,3.8,Building Material , 30 years old ,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",NA,85,454,https://www.ambitionbox.com/interviews/classic-marble-company-interview-questions,7,https://www.ambitionbox.com/jobs/classic-marble-company-jobs,https://www.ambitionbox.com/photos/classic-marble-company-photos, 201-500 Employees , 30 years old 
8338,Chili's Grill & Bar,4.5,Hospitality , 49 years old ,"Skill Development / Learning, Work Satisfaction, Company Culture",NA,85,249,https://www.ambitionbox.com/interviews/chilis-grill-and-bar-interview-questions,--,https://www.ambitionbox.com/jobs/chilis-grill-and-bar-jobs,https://www.ambitionbox.com/photos/chilis-grill-and-bar-photos, 11-50 Employees , 49 years old 
8339,ABS India,3.8,IT Services & Consulting , 22 years old ,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",85,1.1k,https://www.ambitionbox.com/interviews/abs-india-interview-questions,6,https://www.ambitionbox.com/jobs/abs-india-jobs,https://www.ambitionbox.com/photos/abs-india-photos, 201-500 Employees , 22 years old 
8340,Hind Terminals,4.1,Logistics , 19 years old ,"Job Security, Work Life Balance, Salary & Benefits",NA,85,567,https://www.ambitionbox.com/interviews/hind-terminals-interview-questions,--,https://www.ambitionbox.com/jobs/hind-terminals-jobs,https://www.ambitionbox.com/photos/hind-terminals-photos, 1k-5k Employees , 19 years old 
8341,Yellow Banana Food Company,3.5,Hospitality , 26 years old ,"Job Security, Company Culture, Salary & Benefits",NA,84,402,https://www.ambitionbox.com/interviews/yellow-banana-food-company-interview-questions,--,https://www.ambitionbox.com/jobs/yellow-banana-food-company-jobs,https://www.ambitionbox.com/photos/yellow-banana-food-company-photos, 501-1k Employees , 26 years old 
8342,Sharda Cropchem,3.9,Chemicals , Public ,"Job Security, Salary & Benefits, Promotions / Appraisal",NA,84,372,https://www.ambitionbox.com/interviews/sharda-cropchem-interview-questions,3,https://www.ambitionbox.com/jobs/sharda-cropchem-jobs,https://www.ambitionbox.com/photos/sharda-cropchem-photos, 201-500 Employees , 37 years old 
8343,HH Global,4.0,IT Services & Consulting , 33 years old ,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",84,843,https://www.ambitionbox.com/interviews/hh-global-interview-questions,2,https://www.ambitionbox.com/jobs/hh-global-jobs,https://www.ambitionbox.com/photos/hh-global-photos, 1k-5k Employees (Global) , 33 years old 
8344,CLP India,4.2,Power , 22 years old ,"Job Security, Company Culture, Work Life Balance",NA,84,487,https://www.ambitionbox.com/interviews/clp-india-interview-questions,--,https://www.ambitionbox.com/jobs/clp-india-jobs,https://www.ambitionbox.com/photos/clp-india-photos, 201-500 Employees , 22 years old 
8345,Captain Tractors,4.1,Automobile , 30 years old ,"Job Security, Skill Development / Learning, Work Life Balance",NA,83,419,https://www.ambitionbox.com/interviews/captain-tractors-interview-questions,18,https://www.ambitionbox.com/jobs/captain-tractors-jobs,https://www.ambitionbox.com/photos/captain-tractors-photos, 501-1k Employees , 30 years old 
8346,ECI Telecom,4.3,Hardware & Networking , 63 years old ,"Company Culture, Job Security, Salary & Benefits",NA,83,675,https://www.ambitionbox.com/interviews/eci-telecom-interview-questions,3,https://www.ambitionbox.com/jobs/eci-telecom-jobs,https://www.ambitionbox.com/photos/eci-telecom-photos, 51-200 Employees , 63 years old 
8347,Signals & Systems (India) Private Limited,4.1,Electronics Manufacturing , 29 years old ,"Job Security, Skill Development / Learning, Work Satisfaction",NA,83,635,https://www.ambitionbox.com/interviews/signals-and-systems-interview-questions,15,https://www.ambitionbox.com/jobs/signals-and-systems-jobs,https://www.ambitionbox.com/photos/signals-and-systems-photos, 51-200 Employees , 29 years old 
8348,Man Infraconstruction,4.2,Real Estate , Public ,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,82,301,https://www.ambitionbox.com/interviews/man-infraconstruction-interview-questions,--,https://www.ambitionbox.com/jobs/man-infraconstruction-jobs,https://www.ambitionbox.com/photos/man-infraconstruction-photos, 201-500 Employees , 60 years old 
8349,Ufi Filters,4.1,Auto Components , 53 years old ,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,82,595,https://www.ambitionbox.com/interviews/ufi-filters-interview-questions,1,https://www.ambitionbox.com/jobs/ufi-filters-jobs,https://www.ambitionbox.com/photos/ufi-filters-photos, 201-500 Employees , 53 years old 
8350,Navodaya Vidyalaya Samiti,4.0,Education & Training , 39 years old ,"Salary & Benefits, Skill Development / Learning",Job Security,82,327,https://www.ambitionbox.com/interviews/navodaya-vidyalaya-samiti-interview-questions,--,https://www.ambitionbox.com/jobs/navodaya-vidyalaya-samiti-jobs,https://www.ambitionbox.com/photos/navodaya-vidyalaya-samiti-photos, 501-1k Employees (Global) , 39 years old 
8351,Room to Read,4.1,Non-Profit , 24 years old ,"Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",82,247,https://www.ambitionbox.com/interviews/room-to-read-interview-questions,14,https://www.ambitionbox.com/jobs/room-to-read-jobs,https://www.ambitionbox.com/photos/room-to-read-photos, 201-500 Employees , 24 years old 
8352,Medgulf Construction Company,4.0,Engineering & Construction , 49 years old ,"Promotions / Appraisal, Work Satisfaction",NA,81,249,https://www.ambitionbox.com/interviews/medgulf-construction-company-interview-questions,--,https://www.ambitionbox.com/jobs/medgulf-construction-company-jobs,https://www.ambitionbox.com/photos/medgulf-construction-company-photos, 1k-5k Employees (Global) , 49 years old 
8353,Dura-Line,4.1,Chemicals , 53 years old ,"Work Life Balance, Salary & Benefits, Work Satisfaction",NA,81,387,https://www.ambitionbox.com/interviews/dura-line-interview-questions,--,https://www.ambitionbox.com/jobs/dura-line-jobs,https://www.ambitionbox.com/photos/dura-line-photos, 201-500 Employees , 53 years old 
8354,Shabari Telecable Network,3.6,Facility Management Services , 34 years old ,"Promotions / Appraisal, Job Security, Work Life Balance",NA,81,525,https://www.ambitionbox.com/interviews/shabari-telecable-network-interview-questions,--,https://www.ambitionbox.com/jobs/shabari-telecable-network-jobs,https://www.ambitionbox.com/photos/shabari-telecable-network-photos, 1k-5k Employees (Global) , 34 years old 
8355,German Remedies,3.7,Pharma , 75 years old ,"Work Satisfaction, Skill Development / Learning, Work Life Balance",NA,80,218,https://www.ambitionbox.com/interviews/german-remedies-interview-questions,--,https://www.ambitionbox.com/jobs/german-remedies-jobs,https://www.ambitionbox.com/photos/german-remedies-photos, 501-1k Employees (Global) , 75 years old 
8356,Featherlite,3.6,Furniture & Furnishing , 59 years old ,"Salary & Benefits, Promotions / Appraisal, Company Culture",NA,80,614,https://www.ambitionbox.com/interviews/featherlite-interview-questions,6,https://www.ambitionbox.com/jobs/featherlite-jobs,https://www.ambitionbox.com/photos/featherlite-photos, 1k-5k Employees , 59 years old 
8357,VTP GROUP,3.9,Real Estate , 37 years old ,NA,NA,80,562,https://www.ambitionbox.com/interviews/vtp-group-interview-questions,--,https://www.ambitionbox.com/jobs/vtp-group-jobs,https://www.ambitionbox.com/photos/vtp-group-photos, 501-1k Employees , 37 years old 
8358,Sara Suole,4.1,Fashion & Textile , 23 years old ,Promotions / Appraisal,NA,80,407,https://www.ambitionbox.com/interviews/sara-suole-interview-questions,--,https://www.ambitionbox.com/jobs/sara-suole-jobs,https://www.ambitionbox.com/photos/sara-suole-photos, 501-1k Employees , 23 years old 
8359,Srei Infrastructure Finance,4.3,Financial Services , Public ,"Work Life Balance, Company Culture, Work Satisfaction",NA,78,405,https://www.ambitionbox.com/interviews/srei-infrastructure-finance-interview-questions,--,https://www.ambitionbox.com/jobs/srei-infrastructure-finance-jobs,https://www.ambitionbox.com/photos/srei-infrastructure-finance-photos, 51-200 Employees , 39 years old 
8360,The George Telegraph Training Institute,3.2,Education & Training , 104 years old ,"Promotions / Appraisal, Job Security, Company Culture",NA,78,364,https://www.ambitionbox.com/interviews/the-george-telegraph-training-institute-interview-questions,17,https://www.ambitionbox.com/jobs/the-george-telegraph-training-institute-jobs,https://www.ambitionbox.com/photos/the-george-telegraph-training-institute-photos, 51-200 Employees , 104 years old 
8361,M+W Group,3.9,Engineering & Construction , 112 years old ,"Company Culture, Skill Development / Learning, Work Life Balance",NA,78,348,https://www.ambitionbox.com/interviews/mw-group-interview-questions,1,https://www.ambitionbox.com/jobs/mw-group-jobs,https://www.ambitionbox.com/photos/mw-group-photos, 51-200 Employees , 112 years old 
8362,Preca Solutions,3.5,Engineering & Construction , 14 years old ,"Promotions / Appraisal, Salary & Benefits, Company Culture",NA,78,370,https://www.ambitionbox.com/interviews/preca-solutions-interview-questions,--,https://www.ambitionbox.com/jobs/preca-solutions-jobs,https://www.ambitionbox.com/photos/preca-solutions-photos, 201-500 Employees , 14 years old 
8363,Believers Church Medical College Hospital,4.5,Healthcare , 10 years old ,"Company Culture, Job Security, Skill Development / Learning",NA,75,318,https://www.ambitionbox.com/interviews/believers-church-medical-college-hospital-interview-questions,--,https://www.ambitionbox.com/jobs/believers-church-medical-college-hospital-jobs,https://www.ambitionbox.com/photos/believers-church-medical-college-hospital-photos, 501-1k Employees , 10 years old 
8364,Aakash Hospital,4.1,Healthcare , 19 years old ,"Work Life Balance, Salary & Benefits, Skill Development / Learning",NA,73,446,https://www.ambitionbox.com/interviews/aakash-hospital-interview-questions,--,https://www.ambitionbox.com/jobs/aakash-hospital-jobs,https://www.ambitionbox.com/photos/aakash-hospital-photos, 51-200 Employees (Global) , 19 years old 
8365,Shriji Polymers,3.6,Packaging , Public ,"Job Security, Company Culture, Work Life Balance",NA,238,406,https://www.ambitionbox.com/interviews/shriji-polymers-interview-questions,2,https://www.ambitionbox.com/jobs/shriji-polymers-jobs,https://www.ambitionbox.com/photos/shriji-polymers-photos, 51-200 Employees , 21 years old 
8366,PETROCON ENGINEERS AND CONSULTANTS,3.5,Engineering & Construction , Hyderabad / Secunderabad +6 more,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",NA,109,542,https://www.ambitionbox.com/interviews/petrocon-engineers-and-consultants-interview-questions,--,https://www.ambitionbox.com/jobs/petrocon-engineers-and-consultants-jobs,https://www.ambitionbox.com/photos/petrocon-engineers-and-consultants-photos, 51-200 Employees , 51-200 Employees 
8367,Steel Infra Solutions,3.9,Iron & Steel , Bhilai Nagar +11 more,NA,NA,101,506,https://www.ambitionbox.com/interviews/steel-infra-solutions-interview-questions,--,https://www.ambitionbox.com/jobs/steel-infra-solutions-jobs,https://www.ambitionbox.com/photos/steel-infra-solutions-photos, 201-500 Employees , 201-500 Employees 
8368,Samsung Semiconductor,3.5,Semiconductors , 41 years old ,"Job Security, Salary & Benefits","Company Culture, Work Satisfaction",100,959,https://www.ambitionbox.com/interviews/samsung-semiconductor-interview-questions,--,https://www.ambitionbox.com/jobs/samsung-semiconductor-jobs,https://www.ambitionbox.com/photos/samsung-semiconductor-photos, 11-50 Employees , 41 years old 
8369,Infoicon Technologies,4.5,IT Services & Consulting , 19 years old ,"Job Security, Work Life Balance, Work Satisfaction",NA,100,295,https://www.ambitionbox.com/interviews/infoicon-technologies-interview-questions,164,https://www.ambitionbox.com/jobs/infoicon-technologies-jobs,https://www.ambitionbox.com/photos/infoicon-technologies-photos, 201-500 Employees , 19 years old 
