,name,rating,Sector,Ownership,high_rating_values,bad_rating_factor,Review,Salary_comments,Interview_Q,Jobs,Job_link,Photos,Employee_count,Age
5098,Renewsys India,4.1,Power , 13 years old ,"Skill Development / Learning, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",141,1k,https://www.ambitionbox.com/interviews/renewsys-india-interview-questions,6,https://www.ambitionbox.com/jobs/renewsys-india-jobs,https://www.ambitionbox.com/photos/renewsys-india-photos, 201-500 Employees , 13 years old 
5099,Miraj Group,3.9,FMCG , 37 years old ,"Job Security, Promotions / Appraisal, Company Culture",NA,139,772,https://www.ambitionbox.com/interviews/miraj-group-interview-questions,4,https://www.ambitionbox.com/jobs/miraj-group-jobs,https://www.ambitionbox.com/photos/miraj-group-photos, 5k-10k Employees , 37 years old 
5100,Siddha Group,3.8,Real Estate , 38 years old ,Promotions / Appraisal,NA,138,858,https://www.ambitionbox.com/interviews/siddha-group-interview-questions,--,https://www.ambitionbox.com/jobs/siddha-group-jobs,https://www.ambitionbox.com/photos/siddha-group-photos, 501-1k Employees , 38 years old 
5101,Pharmed,3.9,Pharma , Public ,Skill Development / Learning,NA,138,621,https://www.ambitionbox.com/interviews/pharmed-interview-questions,--,https://www.ambitionbox.com/jobs/pharmed-jobs,https://www.ambitionbox.com/photos/pharmed-photos, 1k-5k Employees , 78 years old 
5102,Harvest Gold Industries,3.8,Food Processing , 31 years old ,Work Satisfaction,NA,136,606,https://www.ambitionbox.com/interviews/harvest-gold-industries-interview-questions,--,https://www.ambitionbox.com/jobs/harvest-gold-industries-jobs,https://www.ambitionbox.com/photos/harvest-gold-industries-photos, 501-1k Employees , 31 years old 
5103,Virbac Animal Health,3.6,Pharma , 56 years old ,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",136,371,https://www.ambitionbox.com/interviews/virbac-animal-health-interview-questions,--,https://www.ambitionbox.com/jobs/virbac-animal-health-jobs,https://www.ambitionbox.com/photos/virbac-animal-health-photos, 501-1k Employees , 56 years old 
5104,Bhadra International,3.6,Logistics , 24 years old ,"Promotions / Appraisal, Salary & Benefits, Job Security",NA,135,429,https://www.ambitionbox.com/interviews/bhadra-international-interview-questions,--,https://www.ambitionbox.com/jobs/bhadra-international-jobs,https://www.ambitionbox.com/photos/bhadra-international-photos, 51-200 Employees , 24 years old 
5105,Jaslok Hospital and Research Centre,4.2,Healthcare , 51 years old ,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",134,698,https://www.ambitionbox.com/interviews/jaslok-hospital-and-research-centre-interview-questions,13,https://www.ambitionbox.com/jobs/jaslok-hospital-and-research-centre-jobs,https://www.ambitionbox.com/photos/jaslok-hospital-and-research-centre-photos, 1k-5k Employees , 51 years old 
5106,Ammann Apollo,4.2,Industrial Machinery , 27 years old ,"Work Life Balance, Job Security, Work Satisfaction",NA,133,824,https://www.ambitionbox.com/interviews/ammann-apollo-interview-questions,--,https://www.ambitionbox.com/jobs/ammann-apollo-jobs,https://www.ambitionbox.com/photos/ammann-apollo-photos, 1k-5k Employees , 27 years old 
5107,Privi Organics,3.9,Chemicals , Public ,"Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",133,768,https://www.ambitionbox.com/interviews/privi-organics-interview-questions,--,https://www.ambitionbox.com/jobs/privi-organics-jobs,https://www.ambitionbox.com/photos/privi-organics-photos, 201-500 Employees , 42 years old 
